sub cond rt
1 2 0.452082
1 1 0.844666
1 1 0.934068
1 1 0.716384
1 1 0.555885
1 2 0.865412
1 1 0.658997
1 1 0.818109
1 1 0.922553
1 2 0.729579
1 1 0.840489
1 2 0.794739
1 2 1.175016
1 2 0.908696
1 2 0.772316
1 2 0.689235
1 1 1.217431
1 1 0.609089
1 2 1.564634
1 2 0.54864
1 2 0.545791
1 1 0.648124
1 1 1.130174
1 2 0.913202
1 1 0.720828
1 1 0.587852
1 1 0.608023
1 2 0.676
1 2 0.689902
1 1 0.730068
1 2 0.760966
1 1 1.039264
1 2 0.697118
1 2 0.809309
1 2 0.628897
1 1 0.479716
1 1 0.816491
1 1 0.564146
1 2 0.720575
1 2 0.78347
1 2 0.827958
1 2 0.504027
1 2 0.847518
1 2 0.996032
1 1 0.904382
1 1 0.608001
1 1 0.803576
1 1 1.364108
1 1 0.479772
1 2 0.66075
1 2 0.654248
1 1 0.48118
1 1 1.577972
1 2 1.183184
1 1 0.700229
1 2 0.797085
1 1 1.005677
1 2 0.873302
1 1 0.70626
1 2 0.937807
1 1 0.656123
1 2 0.960661
1 1 0.662288
1 2 0.663368
1 2 0.920915
1 2 0.626841
1 1 0.716681
1 2 0.700168
1 1 1.420438
1 1 1.175598
1 2 0.848135
1 1 0.657101
1 2 0.521729
1 2 1.040476
1 2 1.025788
1 2 0.932822
1 2 0.595736
1 1 0.999963
1 1 0.803373
1 2 0.614846
1 2 1.041634
1 1 1.247267
1 1 0.483496
1 1 0.724305
1 2 0.57075
1 2 0.663543
1 2 0.657107
1 1 0.722621
1 1 0.760535
1 1 0.918098
1 1 0.973059
1 1 0.562017
1 2 0.66353
1 2 0.84106
1 1 0.686836
1 2 0.59945
1 2 0.77963
1 1 0.606757
1 1 0.482252
1 1 0.611048
1 2 1.014574
1 1 0.530236
1 2 0.801032
1 1 0.691622
1 2 0.710361
1 2 0.733857
1 1 1.028109
1 1 0.735088
1 1 0.709373
1 1 0.734799
1 1 0.916924
1 1 0.630254
1 1 0.553106
1 2 0.558522
1 2 0.867976
1 2 0.828896
1 1 1.039837
1 2 0.930225
1 2 0.612256
1 1 0.759782
1 2 0.4895
1 2 0.569614
1 2 0.509459
1 2 0.573157
1 1 0.633986
1 2 0.449641
1 1 0.523721
1 1 1.418099
1 2 1.868369
1 1 0.580598
1 2 0.513424
1 2 0.736922
1 1 0.518149
1 1 0.556925
1 1 0.871284
1 2 0.520283
1 2 1.312129
1 2 0.585802
1 1 0.619732
1 1 0.821151
1 1 0.624063
1 2 0.714942
1 2 0.678874
1 2 0.895746
1 1 0.68798
1 1 0.608224
1 1 0.563762
1 2 0.545267
1 2 0.531357
1 1 0.586165
1 2 0.614339
1 2 0.705894
1 1 1.12425
1 1 0.553616
1 1 0.699159
1 2 0.757534
1 1 0.59509
1 2 0.77481
1 2 0.915055
1 2 0.682621
1 1 0.683479
1 1 1.452384
1 2 0.694301
1 1 0.779603
1 1 0.856462
1 1 0.544396
1 1 0.822559
1 2 0.697474
1 2 0.553673
1 2 0.766151
1 2 0.592208
1 2 0.771744
1 1 0.880569
1 2 0.701664
1 2 0.765196
1 2 1.411679
1 2 0.790492
1 2 0.530732
1 1 0.53305
1 1 1.05404
1 1 0.782277
1 2 1.267197
1 1 0.806919
1 1 1.594543
1 2 0.727063
2 2 0.634684
2 1 0.473124
2 1 0.726124
2 1 0.645007
2 1 0.49425
2 2 0.566375
2 1 0.675911
2 1 0.637203
2 1 0.626959
2 2 0.613812
2 1 0.752341
2 2 0.669914
2 2 0.590837
2 2 0.573886
2 2 0.562765
2 2 0.58427
2 1 0.691463
2 1 0.480272
2 1 0.608331
2 2 0.586864
2 2 0.620624
2 2 0.559496
2 1 0.749048
2 2 0.628837
2 1 0.535723
2 1 0.595746
2 1 0.671992
2 2 0.700334
2 2 0.559562
2 1 0.524169
2 2 0.522905
2 1 1.05352
2 2 0.652168
2 2 0.637643
2 2 0.535858
2 1 0.741051
2 1 0.555258
2 1 0.528766
2 2 0.583645
2 2 0.628479
2 2 0.748215
2 2 0.612836
2 2 0.696356
2 2 0.560117
2 1 0.501652
2 1 0.621188
2 1 0.608031
2 1 0.523983
2 1 0.597036
2 2 0.509468
2 2 0.724951
2 1 0.563383
2 1 0.632878
2 2 0.530749
2 1 0.601598
2 2 0.679378
2 1 0.563837
2 2 0.576315
2 1 0.645186
2 2 0.775392
2 1 0.660334
2 2 0.629908
2 1 0.584799
2 2 0.704122
2 2 0.607742
2 2 0.668147
2 1 0.613093
2 2 0.608599
2 1 0.548126
2 1 0.738305
2 2 0.667775
2 2 0.611042
2 2 0.758583
2 2 0.706616
2 2 0.569148
2 1 0.574031
2 1 0.474893
2 2 0.627712
2 2 0.627561
2 1 0.628547
2 1 0.562297
2 1 0.511768
2 2 0.638152
2 2 0.680367
2 2 0.736211
2 1 0.654488
2 1 0.608052
2 1 0.547566
2 1 0.561756
2 1 0.55125
2 2 0.532771
2 2 0.475619
2 1 0.441579
2 2 0.589481
2 2 0.657717
2 1 0.542725
2 1 0.484893
2 1 0.765047
2 2 0.53862
2 1 0.536819
2 2 0.447017
2 1 0.553154
2 2 0.548072
2 2 0.586249
2 1 0.526397
2 1 0.461253
2 1 0.534761
2 1 0.452713
2 1 0.582209
2 1 0.516511
2 1 0.540001
2 2 0.704379
2 2 0.567941
2 2 0.644829
2 1 0.478034
2 2 0.566862
2 1 0.626505
2 2 0.600347
2 1 0.411855
2 2 0.688791
2 2 0.49701
2 2 0.457153
2 2 0.426211
2 1 0.50102
2 2 0.539508
2 2 0.705697
2 1 0.729273
2 1 0.517694
2 2 0.684488
2 2 0.552043
2 1 0.51628
2 2 0.595781
2 2 0.503976
2 1 0.447498
2 1 0.569636
2 1 0.53462
2 2 0.53281
2 2 0.581005
2 2 0.717395
2 1 0.564013
2 1 0.456531
2 1 0.547283
2 1 0.537433
2 2 0.615652
2 2 0.385225
2 2 0.573334
2 1 0.426189
2 1 0.831087
2 2 0.530153
2 1 0.583916
2 2 0.412093
2 1 0.535547
2 2 0.509717
2 2 0.82127
2 1 0.437
2 1 0.474703
2 1 1.192246
2 2 0.766102
2 1 0.507662
2 2 0.587338
2 2 0.615349
2 2 0.514879
2 1 0.522376
2 1 0.521228
2 2 0.663993
2 1 0.505588
2 1 0.529068
2 1 0.534908
2 1 0.557235
2 1 0.546704
2 2 0.61697
2 2 0.499775
2 2 0.491986
2 2 0.475697
2 2 0.655192
2 1 0.488738
2 2 0.60888
2 2 0.50737
2 2 0.678593
2 2 0.647526
2 2 0.593716
2 1 0.525449
2 1 0.576758
2 1 0.594513
2 2 0.65466
2 1 0.547223
2 1 0.697409
3 2 0.639423
3 1 0.754597
3 1 0.594768
3 1 0.598986
3 1 0.707208
3 2 0.594784
3 1 0.831034
3 1 0.595757
3 1 0.633144
3 2 0.964167
3 1 0.521843
3 2 0.600711
3 2 0.644263
3 2 0.474732
3 2 0.579539
3 2 0.687454
3 1 0.591691
3 1 0.446599
3 1 0.62965
3 2 0.600532
3 2 0.449653
3 2 0.555844
3 1 0.561367
3 1 0.430878
3 2 0.392688
3 1 0.420822
3 1 0.46651
3 1 0.667992
3 2 0.731851
3 2 1.018098
3 1 0.85311
